,custom_score,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/colset,config/et_bootstrap,config/et_max_depth,config/et_max_features,config/et_min_samples_leaf,config/et_min_samples_split,config/et_n_estimators,config/lr_C,config/lr_solver,config/svc_C,config/svc_kernel,config/weight_et,config/weight_lr,config/weight_svc,config/weight_xgb,config/xgb_alpha,config/xgb_colsample_bytree,config/xgb_eta,config/xgb_lambda,config/xgb_max_depth,config/xgb_min_child_weight,config/xgb_subsample,logdir
174,6700.0,1716982691,,False,1,6f4d3755,2024-05-29_13-38-11,1.6358201503753662,1.6358201503753662,2564,DESKTOP-8J3QSBJ,127.0.0.1,1.6358201503753662,1,"[101, 103, 105]",True,7,log2,7,6,166,4.2307710864759756,liblinear,2.069356616431474,poly,0.3758084976342828,0.852233943673971,0.03384840313841503,0.1879284611103632,0.003275064086425218,0.7420422479141564,0.085008391015001,0.12509380145297788,8,5,0.8195738027319448,6f4d3755
175,6450.0,1716982692,,False,1,57459d0d,2024-05-29_13-38-12,0.9939982891082764,0.9939982891082764,57036,DESKTOP-8J3QSBJ,127.0.0.1,0.9939982891082764,1,"[101, 103, 105]",True,12,log2,2,2,132,4.419205237589395,lbfgs,0.960285654877139,linear,0.4145796177168759,0.9712748693336961,0.8270345112024704,0.3191751005245828,0.010262066732774057,0.9323004919992053,0.06899041002841855,0.023690934703085084,7,5,0.5467919838975572,57459d0d
176,6650.0,1716982694,,False,1,2abae96b,2024-05-29_13-38-14,1.3772799968719482,1.3772799968719482,10024,DESKTOP-8J3QSBJ,127.0.0.1,1.3772799968719482,1,"[100, 101, 102, 103, 105]",False,7,log2,4,6,168,2.5343744585499737,lbfgs,0.1316197137577009,rbf,0.291855272946413,0.5504940450903963,0.44370100024342196,0.8359772416314147,0.1569734936137154,0.6484121654834798,0.04836948110563104,0.025970869624908525,9,5,0.5631630525440898,2abae96b
177,6350.0,1716982697,,False,1,c5c1373b,2024-05-29_13-38-17,1.722860336303711,1.722860336303711,30556,DESKTOP-8J3QSBJ,127.0.0.1,1.722860336303711,1,"[104, 102, 103, 105]",False,6,log2,5,5,193,1.2341010696268893,sag,0.22837522722810044,sigmoid,0.6416469739663406,0.13002442926466753,0.4331568865647204,0.7834420694948578,5.194979670964372,0.6262164830904049,0.09446364275477649,0.004504384313692393,7,1,0.8709136653646861,c5c1373b
178,6350.0,1716982698,,False,1,10bc20d2,2024-05-29_13-38-18,1.0029997825622559,1.0029997825622559,23348,DESKTOP-8J3QSBJ,127.0.0.1,1.0029997825622559,1,"[101, 102, 103, 105]",False,11,log2,8,8,153,5.476349781803141,sag,0.6564334549151422,linear,0.7140789853095976,0.15731291934262237,0.9302832957116893,0.4623132055018544,0.09947083333465474,0.6147457648208371,0.02086129306928146,0.13481967620139454,7,4,0.737620199706256,10bc20d2
179,6600.0,1716982700,,False,1,28f4a1c3,2024-05-29_13-38-20,1.606518030166626,1.606518030166626,62512,DESKTOP-8J3QSBJ,127.0.0.1,1.606518030166626,1,"[102, 103, 105]",True,11,sqrt,1,4,119,9.385323060301106,liblinear,1.917617691443955,poly,0.8397578567541978,0.39175010047143455,0.35437751255963934,0.8466427573991624,0.010758503698232266,0.8275231418521646,0.02014121283112162,0.13580771445576634,6,2,0.802203119098893,28f4a1c3
180,6850.0,1716982702,,False,1,1a9de762,2024-05-29_13-38-22,1.244734525680542,1.244734525680542,37768,DESKTOP-8J3QSBJ,127.0.0.1,1.244734525680542,1,"[100, 101, 103, 105]",False,11,log2,6,9,63,5.275676742787126,lbfgs,0.7846102939844494,poly,0.3828991303580283,0.868301956008329,0.14026881963589194,0.549816245507925,0.06318049612622374,0.719733970609169,0.03508854162953535,0.10457020229404224,4,4,0.5235000956094542,1a9de762
181,7150.0,1716982704,,False,1,9ed5c462,2024-05-29_13-38-24,1.6331255435943604,1.6331255435943604,17936,DESKTOP-8J3QSBJ,127.0.0.1,1.6331255435943604,1,"[101, 102, 103]",True,12,sqrt,2,5,162,1.7096456012026433,saga,0.15439985757771782,sigmoid,0.261030475902427,0.787555723282551,0.7319974167116939,0.3691310747132114,0.25261734418631715,0.5642931980869885,0.08679863906621973,0.02541175341019329,7,1,0.6307690422109756,9ed5c462
182,6650.0,1716982705,,False,1,1a8eba62,2024-05-29_13-38-25,1.0822219848632812,1.0822219848632812,46444,DESKTOP-8J3QSBJ,127.0.0.1,1.0822219848632812,1,"[102, 103, 105]",True,19,sqrt,8,9,124,8.067971325869777,sag,1.852584803465644,linear,0.4213098053311931,0.5907264037067692,0.486403380429601,0.28914594412158684,0.012739165099096034,0.7117641797835542,0.05385302970951271,0.28165389060666957,5,1,0.9426214813314555,1a8eba62
183,6600.0,1716982707,,False,1,cf6b4098,2024-05-29_13-38-27,0.974799394607544,0.974799394607544,45136,DESKTOP-8J3QSBJ,127.0.0.1,0.974799394607544,1,"[101, 102, 103]",True,4,sqrt,3,4,180,2.559191638184004,saga,0.1254046625678237,linear,0.2146662955131775,0.6674041513814124,0.4513367301208925,0.6749832833698789,1.9512770822267467,0.6593190420033608,0.011969220979885141,0.23655864001837298,7,2,0.6405807832396936,cf6b4098
