model,scoring_function,features,score,n_features
RandomForestClassifier(),calculate_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x153,x5,x463,x81,x65,x103,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",7600.0,48
RandomForestClassifier(),precision_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x153,x5,x463,x81,x65,x103,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",0.671875,48
RandomForestClassifier(),accuracy_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x153,x5,x463,x81,x65,x103,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",0.677,48
SVC(C=0.8),precision_calculate_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x153,x5,x463,x81,x65,x103,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",726.6666666666666,48
SVC(C=0.8),calculate_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x153,x5,x463,x81,x65,x103,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",1300.0,48
SVC(C=0.8),precision_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x153,x5,x463,x81,x65,x103,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",0.558974358974359,48
SVC(C=0.8),accuracy_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x153,x5,x463,x81,x65,x103,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",0.547,48
RandomForestClassifier(),precision_calculate_score,"x336,x253,x22,x3,x101,x229,x9,x1,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x132,x153,x5,x463,x81,x65,x103,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",4895.186640471513,48
RandomForestClassifier(),calculate_score,"x336,x253,x22,x3,x101,x229,x9,x1,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x132,x153,x5,x463,x81,x65,x103,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",7350.0,48
RandomForestClassifier(),precision_score,"x336,x253,x22,x3,x101,x229,x9,x1,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x132,x153,x5,x463,x81,x65,x103,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",0.6660117878192534,48
