max_depth,n_estimators,features,test_score,random_state,feature_selection_method,precision,f1,recall,accuracy
2,482,x423,5250.0,3,Genetic,0.5009208103130756,0.5220729366602687,0.5450901803607214,0.502
2,482,x423,4500.0,4,Genetic,0.5141776937618148,0.5291828793774319,0.5450901803607214,0.516
10,496,x459,5350.0,0,Genetic,0.4951830443159923,0.5049115913555993,0.5150300601202404,0.496
10,496,x459,4550.0,1,Genetic,0.5020661157024794,0.49440488301119023,0.48697394789579157,0.503
10,496,x459,4550.0,2,Genetic,0.4990791896869245,0.5201535508637236,0.5430861723446894,0.5
10,496,x459,4500.0,3,Genetic,0.48507462686567165,0.5024154589371981,0.5210420841683366,0.485
10,496,x459,4600.0,4,Genetic,0.48406374501992033,0.4855144855144855,0.48697394789579157,0.485
7,123,x329_x352_x413,4800.0,0,Genetic,0.5088757396449705,0.5129224652087475,0.5170340681362725,0.51
7,123,x329_x352_x413,4800.0,1,Genetic,0.5101626016260162,0.5065590312815338,0.503006012024048,0.511
7,123,x329_x352_x413,4850.0,2,Genetic,0.5210084033613446,0.5087179487179487,0.4969939879759519,0.521
7,123,x329_x352_x413,4300.0,3,Genetic,0.5291750503018109,0.5281124497991968,0.5270541082164328,0.53
7,123,x329_x352_x413,4500.0,4,Genetic,0.5315682281059063,0.5272727272727272,0.5230460921843687,0.532
8,341,x106_x140_x153_x156_x176_x22_x221_x253_x324_x329_x336_x352_x36_x404_x413_x459_x499_x58_x65_x81,2400.0,0,LassoSVC,0.6,0.5376106194690266,0.48697394789579157,0.582
8,341,x106_x140_x153_x156_x176_x22_x221_x253_x324_x329_x336_x352_x36_x404_x413_x459_x499_x58_x65_x81,2650.0,1,LassoSVC,0.5664160401002506,0.5033407572383074,0.4529058116232465,0.554
8,341,x106_x140_x153_x156_x176_x22_x221_x253_x324_x329_x336_x352_x36_x404_x413_x459_x499_x58_x65_x81,2650.0,2,LassoSVC,0.5779816513761468,0.5390374331550802,0.5050100200400801,0.569
8,341,x106_x140_x153_x156_x176_x22_x221_x253_x324_x329_x336_x352_x36_x404_x413_x459_x499_x58_x65_x81,2400.0,3,LassoSVC,0.5714285714285714,0.5223068552774756,0.48096192384769537,0.561
8,341,x106_x140_x153_x156_x176_x22_x221_x253_x324_x329_x336_x352_x36_x404_x413_x459_x499_x58_x65_x81,2800.0,4,LassoSVC,0.6073170731707317,0.5478547854785478,0.49899799599198397,0.589
10,352,x1_x101_x102_x103_x104_x105_x106_x132_x140_x149_x153_x156_x176_x191_x22_x221_x229_x253_x286_x304_x322_x323_x324_x329_x336_x35_x352_x36_x40_x404_x413_x423_x459_x463_x499_x5_x58_x65_x74_x8_x81_x99,-900.0,0,LassoLR,0.6728395061728395,0.6639593908629442,0.655310621242485,0.669
