C,gamma,features,test_score,random_state,feature_selection_method,precision,f1,recall,accuracy
2.6603954916245502,0.022713604738245338,x103_x101_x102_x105,6750.0,4,Iterative,0.6913265306122449,0.6083052749719416,0.5430861723446894,0.651
0.8582732174698575,0.01907566437039163,x106_x101_x102_x105,6500.0,0,Iterative,0.6904761904761905,0.5952109464082098,0.5230460921843687,0.645
0.8582732174698575,0.01907566437039163,x106_x101_x102_x105,6500.0,1,Iterative,0.6862244897959183,0.6038159371492705,0.5390781563126252,0.647
0.8582732174698575,0.01907566437039163,x106_x101_x102_x105,6850.0,2,Iterative,0.7086614173228346,0.6136363636363636,0.5410821643286573,0.66
0.8582732174698575,0.01907566437039163,x106_x101_x102_x105,6950.0,3,Iterative,0.7142857142857143,0.6091954022988506,0.531062124248497,0.66
0.8582732174698575,0.01907566437039163,x106_x101_x102_x105,6850.0,4,Iterative,0.717391304347826,0.6089965397923875,0.5290581162324649,0.661
0.004857161092914063,0.0991123109297245,x105_x102_x103_x106_x101,6550.0,0,TreeMIF,0.7045454545454546,0.1141804788213628,0.06212424849699399,0.519
0.004857161092914063,0.0991123109297245,x105_x102_x103_x106_x101,6150.0,1,TreeMIF,0.75,0.10093457943925234,0.05410821643286573,0.519
0.004857161092914063,0.0991123109297245,x105_x102_x103_x106_x101,6600.0,2,TreeMIF,0.7435897435897436,0.10780669144981413,0.05811623246492986,0.52
0.004857161092914063,0.0991123109297245,x105_x102_x103_x106_x101,6800.0,3,TreeMIF,0.7941176470588235,0.10131332082551595,0.05410821643286573,0.521
0.004857161092914063,0.0991123109297245,x105_x102_x103_x106_x101,6800.0,4,TreeMIF,0.7857142857142857,0.08349146110056926,0.04408817635270541,0.517
0.04477643999588871,0.06147450990739487,x102_x103_x106_x101_x104,6550.0,0,TreeMIF,0.727710843373494,0.6608315098468271,0.6052104208416834,0.69
0.04477643999588871,0.06147450990739487,x102_x103_x106_x101_x104,6600.0,1,TreeMIF,0.6958637469586375,0.6285714285714286,0.5731462925851704,0.662
0.04477643999588871,0.06147450990739487,x102_x103_x106_x101_x104,6500.0,2,TreeMIF,0.7091346153846154,0.644808743169399,0.591182364729459,0.675
0.04477643999588871,0.06147450990739487,x102_x103_x106_x101_x104,6850.0,3,TreeMIF,0.7227488151658767,0.6623235613463626,0.6112224448897795,0.689
0.04477643999588871,0.06147450990739487,x102_x103_x106_x101_x104,7100.0,4,TreeMIF,0.7317073170731707,0.6600660066006601,0.6012024048096193,0.691
0.26371943938472503,0.01829842546384854,x102_x106_x101_x104,6600.0,0,TreeMIF,0.7070063694267515,0.5461254612546126,0.44488977955911824,0.631
0.26371943938472503,0.01829842546384854,x102_x106_x101_x104,6150.0,1,TreeMIF,0.7033333333333334,0.5281602002503129,0.4228456913827655,0.623
0.26371943938472503,0.01829842546384854,x102_x106_x101_x104,6500.0,2,TreeMIF,0.7244897959183674,0.5372005044136192,0.42685370741482964,0.633
0.26371943938472503,0.01829842546384854,x102_x106_x101_x104,6550.0,3,TreeMIF,0.7206349206349206,0.5577395577395577,0.45490981963927857,0.64
0.26371943938472503,0.01829842546384854,x102_x106_x101_x104,7050.0,4,TreeMIF,0.7457627118644068,0.5541561712846348,0.4408817635270541,0.646
0.03616227662470676,0.07541113836638651,x102_x103_x106_x101,6650.0,0,TreeMIF,0.6950904392764858,0.6072234762979684,0.5390781563126252,0.652
0.03616227662470676,0.07541113836638651,x102_x103_x106_x101,6550.0,1,TreeMIF,0.6938775510204082,0.6105499438832772,0.5450901803607214,0.653
0.03616227662470676,0.07541113836638651,x102_x103_x106_x101,6700.0,2,TreeMIF,0.6893939393939394,0.6100558659217877,0.5470941883767535,0.651
0.03616227662470676,0.07541113836638651,x102_x103_x106_x101,6650.0,3,TreeMIF,0.7091836734693877,0.6240179573512907,0.5571142284569138,0.665
0.03616227662470676,0.07541113836638651,x102_x103_x106_x101,7000.0,4,TreeMIF,0.7109375,0.6183465458663646,0.5470941883767535,0.663
1.3639573462648502,0.1166956310371307,x102_x106_x104,6650.0,0,TreeMIF,0.6279569892473118,0.6058091286307054,0.5851703406813628,0.62
1.3639573462648502,0.1166956310371307,x102_x106_x104,6700.0,1,TreeMIF,0.6326963906581741,0.6144329896907217,0.5971943887775552,0.626
1.3639573462648502,0.1166956310371307,x102_x106_x104,6600.0,2,TreeMIF,0.6391304347826087,0.6131386861313869,0.5891783567134269,0.629
1.3639573462648502,0.1166956310371307,x102_x106_x104,6550.0,3,TreeMIF,0.6659528907922913,0.6438923395445134,0.6232464929859719,0.656
1.3639573462648502,0.1166956310371307,x102_x106_x104,6850.0,4,TreeMIF,0.6514161220043573,0.6242171189979123,0.5991983967935872,0.64
0.10309195005243706,0.19653063515865724,x102_x103_x101_x104,6950.0,0,TreeMIF,0.6326923076923077,0.6457311089303238,0.6593186372745491,0.639
0.10309195005243706,0.19653063515865724,x102_x103_x101_x104,6650.0,1,TreeMIF,0.6382113821138211,0.6337033299697276,0.6292585170340681,0.637
0.10309195005243706,0.19653063515865724,x102_x103_x101_x104,6750.0,2,TreeMIF,0.658051689860835,0.6606786427145709,0.6633266533066132,0.66
0.10309195005243706,0.19653063515865724,x102_x103_x101_x104,6900.0,3,TreeMIF,0.6596558317399618,0.675146771037182,0.6913827655310621,0.668
0.10309195005243706,0.19653063515865724,x102_x103_x101_x104,7000.0,4,TreeMIF,0.6506024096385542,0.649949849548646,0.6492985971943888,0.651
9.77183436866142,0.04668104048021503,x105_x9_x103_x101_x104,6700.0,0,TreeMIF,0.6708595387840671,0.6557377049180327,0.6412825651302605,0.664
9.77183436866142,0.04668104048021503,x105_x9_x103_x101_x104,6150.0,1,TreeMIF,0.6890380313199105,0.6511627906976745,0.6172344689378757,0.67
9.77183436866142,0.04668104048021503,x105_x9_x103_x101_x104,6550.0,2,TreeMIF,0.6995798319327731,0.683076923076923,0.6673346693386774,0.691
9.77183436866142,0.04668104048021503,x105_x9_x103_x101_x104,7000.0,3,TreeMIF,0.6847599164926931,0.6707566462167689,0.657314629258517,0.678
9.77183436866142,0.04668104048021503,x105_x9_x103_x101_x104,6850.0,4,TreeMIF,0.7149321266968326,0.6716259298618491,0.6332665330661322,0.691
4.262259216252153,0.1480975869517284,x423,5600.0,0,Genetic,0.5505226480836237,0.4020356234096692,0.3166332665330661,0.53
4.262259216252153,0.1480975869517284,x423,5050.0,1,Genetic,0.509478672985782,0.46688382193268185,0.4308617234468938,0.509
4.262259216252153,0.1480975869517284,x423,4700.0,2,Genetic,0.5055555555555555,0.42374854481955765,0.36472945891783565,0.505
4.262259216252153,0.1480975869517284,x423,5200.0,3,Genetic,0.5370919881305638,0.43301435406698563,0.3627254509018036,0.526
4.262259216252153,0.1480975869517284,x423,5000.0,4,Genetic,0.5252808988764045,0.43742690058479533,0.374749498997996,0.519
0.21069187251713614,6.218550891985155,x459,5100.0,0,Genetic,0.5183752417794971,0.5275590551181102,0.5370741482965932,0.52
0.21069187251713614,6.218550891985155,x459,5150.0,1,Genetic,0.4990512333965844,0.5126705653021443,0.5270541082164328,0.5
0.21069187251713614,6.218550891985155,x459,5150.0,2,Genetic,0.5267034990791897,0.5489443378119002,0.5731462925851704,0.53
0.21069187251713614,6.218550891985155,x459,4650.0,3,Genetic,0.4932562620423892,0.5029469548133595,0.5130260521042084,0.494
0.21069187251713614,6.218550891985155,x459,5250.0,4,Genetic,0.5149051490514905,0.4377880184331797,0.3807615230460922,0.512
