feature_selector,feature_selector_params,classifier,classifier_params,n_features,accuracy,accuracy_std,accuracy_top_20pc,elapsed_time
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 3, 'max_depth': 6, 'tree_method': 'hist'}",1,0.5713333333333334,0.006236095644623242,0.6416666666666666,1.5559897422790527
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 3, 'max_depth': 6, 'tree_method': 'approx'}",1,0.5723333333333332,0.006798692684790386,0.645,4.173733075459798
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 3, 'max_depth': 10, 'tree_method': 'auto'}",1,0.5423333333333333,0.010842303978193739,0.6,3.5612483819325766
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 3, 'max_depth': 10, 'tree_method': 'hist'}",1,0.5423333333333333,0.010842303978193739,0.6,3.5776099363962808
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 3, 'max_depth': 10, 'tree_method': 'approx'}",1,0.5453333333333333,0.009568466729604892,0.5916666666666667,8.510538736979166
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 5, 'max_depth': 2, 'tree_method': 'auto'}",1,0.5613333333333334,0.01438363267359424,0.6349999999999999,0.6623329321543375
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 5, 'max_depth': 2, 'tree_method': 'hist'}",1,0.5613333333333334,0.01438363267359424,0.6349999999999999,0.6752964655558268
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 5, 'max_depth': 2, 'tree_method': 'approx'}",1,0.5613333333333334,0.01438363267359424,0.6349999999999999,2.675546884536743
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 5, 'max_depth': 6, 'tree_method': 'auto'}",1,0.5626666666666668,0.010274023338281589,0.65,1.4988642533620198
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 5, 'max_depth': 6, 'tree_method': 'hist'}",1,0.5626666666666668,0.010274023338281589,0.65,1.484618345896403
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 5, 'max_depth': 6, 'tree_method': 'approx'}",1,0.5626666666666668,0.010274023338281589,0.6483333333333333,4.166186014811198
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 5, 'max_depth': 10, 'tree_method': 'auto'}",1,0.5623333333333332,0.0070395706939809155,0.6483333333333333,3.0329821904500327
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 5, 'max_depth': 10, 'tree_method': 'hist'}",1,0.5623333333333332,0.0070395706939809155,0.6483333333333333,2.9715936183929443
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 5, 'max_depth': 10, 'tree_method': 'approx'}",1,0.559,0.004966554808583754,0.6516666666666667,7.9508373737335205
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 150, 'min_child_weight': 0.5, 'max_depth': 2, 'tree_method': 'auto'}",1,0.566,0.010801234497346393,0.6566666666666666,0.8849480152130127
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 150, 'min_child_weight': 0.5, 'max_depth': 2, 'tree_method': 'hist'}",1,0.566,0.010801234497346393,0.6566666666666666,0.8650100231170654
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 150, 'min_child_weight': 0.5, 'max_depth': 2, 'tree_method': 'approx'}",1,0.566,0.010801234497346393,0.6566666666666666,4.888202269872029
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 150, 'min_child_weight': 0.5, 'max_depth': 6, 'tree_method': 'auto'}",1,0.5736666666666667,0.003299831645537225,0.63,3.215542713801066
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 150, 'min_child_weight': 0.5, 'max_depth': 6, 'tree_method': 'hist'}",1,0.5736666666666667,0.003299831645537225,0.63,3.2079110145568848
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 150, 'min_child_weight': 0.5, 'max_depth': 6, 'tree_method': 'approx'}",1,0.5666666666666668,0.010842303978193687,0.6366666666666666,8.559233903884888
