,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__kernel,param_model__gamma,param_model__C,param_feature_selection__columns,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
56,0.9524681568145752,0.018725061892075213,0.044239473342895505,0.0028648631009673938,linear,1.0,0.1,"[8, 100, 102, 105, 403]","{'model__kernel': 'linear', 'model__gamma': 1, 'model__C': 0.1, 'feature_selection__columns': [8, 100, 102, 105, 403]}",4250.0,4875.0,4625.0,3437.5,4187.5,4275.0,488.3006246156153,84
57,2.4656683444976806,0.035197521306936534,0.04453201293945312,0.0012848527816835685,linear,1.0,10.0,"[100, 102, 105, 403, 466]","{'model__kernel': 'linear', 'model__gamma': 1, 'model__C': 10, 'feature_selection__columns': [100, 102, 105, 403, 466]}",4125.0,4812.5,4375.0,4562.5,4500.0,4475.0,225.69337606584736,67
58,0.9502361297607422,0.019494371280429253,0.047073984146118165,0.003429481633751324,linear,0.0001,0.1,"[100, 102, 105, 403, 466]","{'model__kernel': 'linear', 'model__gamma': 0.0001, 'model__C': 0.1, 'feature_selection__columns': [100, 102, 105, 403, 466]}",4125.0,4812.5,4375.0,4562.5,4500.0,4475.0,225.69337606584736,67
59,1.8252243995666504,0.11690385666450924,0.06408443450927734,0.0002744929409202309,sigmoid,1.0,0.1,"[100, 102, 105]","{'model__kernel': 'sigmoid', 'model__gamma': 1, 'model__C': 0.1, 'feature_selection__columns': [100, 102, 105]}",4650.0,5212.5,4900.0,4775.0,4650.0,4837.5,209.16500663351889,56
60,1.49493350982666,0.007305655839136393,0.10298471450805664,0.00013243085687799372,rbf,0.0001,1.0,"[100, 102, 105]","{'model__kernel': 'rbf', 'model__gamma': 0.0001, 'model__C': 1, 'feature_selection__columns': [100, 102, 105]}",5275.0,5900.0,5837.5,5337.5,5025.0,5475.0,338.65542960360165,24
61,0.9499892234802246,0.021776309264622214,0.04420967102050781,0.001342349918654888,linear,0.001,0.1,"[100, 102, 105, 403, 466]","{'model__kernel': 'linear', 'model__gamma': 0.001, 'model__C': 0.1, 'feature_selection__columns': [100, 102, 105, 403, 466]}",4125.0,4812.5,4375.0,4562.5,4500.0,4475.0,225.69337606584736,67
62,1.050715446472168,0.0028742859859389154,0.054724597930908205,0.003944256413868041,poly,0.0001,10.0,"[100, 102, 105, 403, 466]","{'model__kernel': 'poly', 'model__gamma': 0.0001, 'model__C': 10, 'feature_selection__columns': [100, 102, 105, 403, 466]}",4187.5,4312.5,4187.5,3937.5,4187.5,4162.5,122.47448713915891,88
63,1.518971061706543,0.008146229298351109,0.10398931503295898,0.0012680509434410854,rbf,0.0001,100.0,"[100, 102, 105, 403, 466]","{'model__kernel': 'rbf', 'model__gamma': 0.0001, 'model__C': 100, 'feature_selection__columns': [100, 102, 105, 403, 466]}",4125.0,4750.0,4562.5,4687.5,4375.0,4500.0,227.07377655731187,66
64,1.7967947006225586,0.01740693897463619,0.07716593742370606,0.00037338866347524246,sigmoid,0.01,1.0,"[100, 102, 105]","{'model__kernel': 'sigmoid', 'model__gamma': 0.01, 'model__C': 1, 'feature_selection__columns': [100, 102, 105]}",5400.0,5525.0,5900.0,5400.0,5087.5,5462.5,262.2022120425379,25
65,1.632568359375,0.013449416095319347,0.07955451011657715,0.0027218588272755083,rbf,0.01,100.0,"[8, 100, 102, 105, 403]","{'model__kernel': 'rbf', 'model__gamma': 0.01, 'model__C': 100, 'feature_selection__columns': [8, 100, 102, 105, 403]}",6250.0,6625.0,7062.5,6437.5,6875.0,6650.0,292.08303613869805,6
66,1.3458711147308349,0.0059510263994944764,0.0815089225769043,0.000571967401618477,rbf,0.1,1.0,"[8, 100, 102, 105, 403]","{'model__kernel': 'rbf', 'model__gamma': 0.1, 'model__C': 1, 'feature_selection__columns': [8, 100, 102, 105, 403]}",6312.5,6562.5,7000.0,6312.5,7000.0,6637.5,309.7377923340967,7
67,1.5592894077301025,0.0038836203865649276,0.1030728816986084,0.00031838803048312835,rbf,0.01,0.1,"[8, 100, 102, 105]","{'model__kernel': 'rbf', 'model__gamma': 0.01, 'model__C': 0.1, 'feature_selection__columns': [8, 100, 102, 105]}",3887.5,4200.0,4325.0,4200.0,3325.0,3987.5,361.420807370024,96
68,1.0065340518951416,0.004036150446313743,0.048889875411987305,0.0022478616631342583,poly,0.01,0.1,"[100, 102, 105]","{'model__kernel': 'poly', 'model__gamma': 0.01, 'model__C': 0.1, 'feature_selection__columns': [100, 102, 105]}",5650.0,5775.0,6525.0,5712.5,6025.0,5937.5,320.1562118716424,13
69,2.4637904167175293,0.03849795513382456,0.0456444263458252,0.0015793305700767804,linear,0.1,10.0,"[100, 102, 105, 403, 466]","{'model__kernel': 'linear', 'model__gamma': 0.1, 'model__C': 10, 'feature_selection__columns': [100, 102, 105, 403, 466]}",4125.0,4812.5,4375.0,4562.5,4500.0,4475.0,225.69337606584736,67
70,0.9509116649627686,0.016612732513966603,0.046368980407714845,0.001657484299293448,linear,1.0,0.1,"[100, 102, 105, 403, 466]","{'model__kernel': 'linear', 'model__gamma': 1, 'model__C': 0.1, 'feature_selection__columns': [100, 102, 105, 403, 466]}",4125.0,4812.5,4375.0,4562.5,4500.0,4475.0,225.69337606584736,67
71,1.8271533966064453,0.0019066053515806487,0.08097543716430664,0.0004706195201441357,sigmoid,0.001,0.1,"[8, 100, 102, 105, 403]","{'model__kernel': 'sigmoid', 'model__gamma': 0.001, 'model__C': 0.1, 'feature_selection__columns': [8, 100, 102, 105, 403]}",4437.5,4312.5,4312.5,3625.0,3625.0,4062.5,360.12150727219836,92
72,1.4766272068023683,0.03747602159389549,0.05118474960327148,0.0024853450896350033,poly,0.1,10.0,"[100, 102, 105, 403, 466]","{'model__kernel': 'poly', 'model__gamma': 0.1, 'model__C': 10, 'feature_selection__columns': [100, 102, 105, 403, 466]}",5062.5,5250.0,4750.0,4750.0,4875.0,4937.5,193.64916731037084,52
73,2.4211816787719727,0.033095049635073995,0.05229206085205078,0.003511216854232403,poly,0.1,100.0,"[8, 100, 102, 105]","{'model__kernel': 'poly', 'model__gamma': 0.1, 'model__C': 100, 'feature_selection__columns': [8, 100, 102, 105]}",4325.0,4137.5,4387.5,5325.0,5387.5,4712.5,532.3884859761713,60
74,1.7828712940216065,0.05987986419392348,0.04448146820068359,0.0011545402734120705,linear,0.01,10.0,"[100, 102, 105]","{'model__kernel': 'linear', 'model__gamma': 0.01, 'model__C': 10, 'feature_selection__columns': [100, 102, 105]}",5400.0,5525.0,5525.0,5337.5,4900.0,5337.5,230.4886114323222,30
75,1.0019510746002198,0.0027854840050411554,0.04946403503417969,0.0013830613678886543,poly,0.0001,100.0,"[100, 102, 105]","{'model__kernel': 'poly', 'model__gamma': 0.0001, 'model__C': 100, 'feature_selection__columns': [100, 102, 105]}",5587.5,5587.5,6462.5,5712.5,6087.5,5887.5,340.9545424246464,17
76,1.5023337364196778,0.00536498133689953,0.10276546478271484,0.0021998597341990438,rbf,0.0001,100.0,"[8, 100, 102, 105]","{'model__kernel': 'rbf', 'model__gamma': 0.0001, 'model__C': 100, 'feature_selection__columns': [8, 100, 102, 105]}",5137.5,5325.0,5387.5,5012.5,4887.5,5150.0,187.08286933869707,47
