Variable,Shapiro Statistic,Shapiro P-Value
290,0.9530553817749023,2.4537088116501785e-37
291,0.9533044099807739,2.9330237360996222e-37
292,0.9543262124061584,6.1482788480554515e-37
293,0.953971266746521,4.747377231455731e-37
294,0.9564599990844727,3.012281760181995e-36
295,0.9556232690811157,1.603729188491714e-36
296,0.9527229070663452,1.9358314987090416e-37
297,0.9563207030296326,2.7104041350144032e-36
298,0.9565402269363403,3.2014801014229866e-36
299,0.9552878737449646,1.2489556627836449e-36
300,0.9544970393180847,6.967015165494881e-37
301,0.9528321623802185,2.092387477844216e-37
302,0.955167829990387,1.1424557239315347e-36
303,0.9554443359375,1.4032271891103383e-36
304,0.9563859701156616,2.8478203501551384e-36
305,0.9553809762001038,1.3385502472790387e-36
306,0.9531134963035583,2.557831116951124e-37
307,0.9571974277496338,5.292270143859423e-36
308,0.9510407447814941,5.95199953267686e-38
309,0.9534015655517578,3.145066874474728e-37
310,0.9545950293540955,7.486424714228849e-37
311,0.9541085958480835,5.245992856225645e-37
312,0.9543700814247131,6.3489725899082975e-37
313,0.9517952799797058,1.0061182844005754e-37
314,0.9534228444099426,3.193592158736139e-37
315,0.9563688039779663,2.8109636445749968e-36
316,0.9545193910598755,7.082218939051707e-37
317,0.9580157995223999,9.981841863054293e-36
318,0.9527198076248169,1.931555408419185e-37
319,0.9550999999046326,1.0864704199031176e-36
320,0.9528233408927917,2.0792695305561014e-37
321,0.9548208713531494,8.839654381279993e-37
322,0.9556772708892822,1.669798012061658e-36
323,0.9568659663200378,4.1041789045699955e-36
324,0.9561944603919983,2.463550321341723e-36
325,0.9585770964622498,1.5512233556338436e-35
326,0.9536060690879822,3.6443369616794198e-37
327,0.951794445514679,1.0055384831479764e-37
328,0.955450177192688,1.4093035779840576e-36
329,0.9482062458992004,8.76028741464981e-39
330,0.9555612802505493,1.5311260541306844e-36
331,0.9515344500541687,8.385387386620663e-38
332,0.9529483318328857,2.2730614851085776e-37
333,0.9546951651573181,8.058050903690892e-37
334,0.9546253085136414,7.654732542805237e-37
335,0.9541727304458618,5.496903754053789e-37
336,0.9577310681343079,7.99556635496416e-36
337,0.9537109136581421,3.931043972726803e-37
338,0.95770263671875,7.820988511697447e-36
339,0.9524867534637451,1.6371848642262251e-37
340,0.9533423185348511,3.014000626509499e-37
341,0.9561882615089417,2.452080390730756e-36
342,0.95569908618927,1.697402291403882e-36
343,0.9557382464408875,1.747837197950149e-36
344,0.9560473561286926,2.204822644367943e-36
345,0.9555869102478027,1.5607379793879405e-36
346,0.9533303380012512,2.9880384896012603e-37
347,0.9553347826004028,1.2933176780971593e-36
348,0.954877495765686,9.216564656034122e-37
349,0.9528542757034302,2.1256076681743944e-37
350,0.9555038213729858,1.4668613855179769e-36
351,0.9530268907546997,2.404221003499592e-37
352,0.9548449516296387,8.998014111798447e-37
353,0.9578477144241333,8.754951202835335e-36
354,0.9550513029098511,1.0479594198287081e-36
355,0.9543073177337646,6.064051617831604e-37
356,0.953337550163269,3.0036256368873924e-37
357,0.9541704654693604,5.487769081728426e-37
358,0.9555788040161133,1.5513721937094528e-36
359,0.9533172845840454,2.9602777580880913e-37
360,0.9572511911392212,5.515828951227371e-36
361,0.9547685980796814,8.505518461889687e-37
362,0.9530667066574097,2.473695587698782e-37
363,0.9547306895256042,8.27131552591138e-37
364,0.9544781446456909,6.871394594028933e-37
365,0.9548713564872742,9.174834211974284e-37
366,0.9534960985183716,3.3665960187261724e-37
367,0.9531955122947693,2.7126131643343403e-37
368,0.956368088722229,2.809443874733304e-36
369,0.9556655883789062,1.6553251324728062e-36
370,0.9545848369598389,7.430753480422644e-37
371,0.9539535045623779,4.6866218626132015e-37
372,0.9561588764190674,2.398260664559494e-36
373,0.9566094875335693,3.3748231877452636e-36
