model,n_estimators,max_depth,min_samples_split,min_samples_leaf,es,cv1,cv2,cv3,cv4,cv_mean,cv_std,columns
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=12,
                                    min_samples_split=11, n_estimators=1000,
                                    random_state=42)",1000,8,11,12,1290.0,1390.0,1310.0,1350.0,1440.0,1372.5,48.15340071064556,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=13,
                                    min_samples_split=10, n_estimators=1000,
                                    random_state=42)",1000,8,10,13,1280.0,1390.0,1300.0,1320.0,1430.0,1360.0,52.44044240850758,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=12,
                                    min_samples_split=9, n_estimators=1000,
                                    random_state=42)",1000,8,9,12,1290.0,1390.0,1310.0,1350.0,1440.0,1372.5,48.15340071064556,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=15,
                                    min_samples_split=12, n_estimators=1000,
                                    random_state=42)",1000,8,12,15,1270.0,1380.0,1310.0,1320.0,1420.0,1357.5,44.93050188902857,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=7, min_samples_leaf=14,
                                    min_samples_split=12, n_estimators=1000,
                                    random_state=42)",1000,7,12,14,1290.0,1360.0,1310.0,1320.0,1430.0,1355.0,47.16990566028302,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=11,
                                    min_samples_split=11, n_estimators=1000,
                                    random_state=42)",1000,8,11,11,1280.0,1390.0,1310.0,1320.0,1440.0,1365.0,53.150729063673246,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=7, min_samples_leaf=12,
                                    min_samples_split=10, n_estimators=1000,
                                    random_state=42)",1000,7,10,12,1300.0,1380.0,1300.0,1310.0,1450.0,1360.0,60.41522986797286,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=13,
                                    min_samples_split=11, n_estimators=1000,
                                    random_state=42)",1000,8,11,13,1280.0,1390.0,1300.0,1320.0,1430.0,1360.0,52.44044240850758,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=12,
                                    min_samples_split=11, n_estimators=1000,
                                    random_state=42)",1000,8,11,12,1290.0,1390.0,1310.0,1350.0,1440.0,1372.5,48.15340071064556,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=13,
                                    min_samples_split=8, n_estimators=1000,
                                    random_state=42)",1000,8,8,13,1280.0,1390.0,1300.0,1320.0,1430.0,1360.0,52.44044240850758,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=11,
                                    min_samples_split=12, n_estimators=1000,
                                    random_state=42)",1000,8,12,11,1280.0,1390.0,1310.0,1320.0,1440.0,1365.0,53.150729063673246,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=12,
                                    min_samples_split=13, n_estimators=1000,
                                    random_state=42)",1000,8,13,12,1290.0,1390.0,1310.0,1350.0,1440.0,1372.5,48.15340071064556,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=10,
                                    min_samples_split=9, n_estimators=1000,
                                    random_state=42)",1000,8,9,10,1280.0,1380.0,1320.0,1290.0,1410.0,1350.0,47.43416490252569,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=12,
                                    min_samples_split=11, n_estimators=1000,
                                    random_state=42)",1000,8,11,12,1290.0,1390.0,1310.0,1350.0,1440.0,1372.5,48.15340071064556,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=6, min_samples_leaf=11,
                                    min_samples_split=3, n_estimators=1000,
                                    random_state=42)",1000,6,3,11,1300.0,1370.0,1320.0,1310.0,1440.0,1360.0,51.47815070493501,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=14,
                                    min_samples_split=10, n_estimators=1000,
                                    random_state=42)",1000,8,10,14,1290.0,1390.0,1320.0,1300.0,1420.0,1357.5,49.180788932265,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=7, min_samples_leaf=13,
                                    min_samples_split=12, n_estimators=1000,
                                    random_state=42)",1000,7,12,13,1290.0,1380.0,1280.0,1330.0,1430.0,1355.0,55.90169943749474,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=12,
                                    min_samples_split=9, n_estimators=1000,
                                    random_state=42)",1000,8,9,12,1290.0,1390.0,1310.0,1350.0,1440.0,1372.5,48.15340071064556,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=11,
                                    min_samples_split=11, n_estimators=1000,
                                    random_state=42)",1000,8,11,11,1280.0,1390.0,1310.0,1320.0,1440.0,1365.0,53.150729063673246,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=12,
                                    min_samples_split=9, n_estimators=1000,
                                    random_state=42)",1000,8,9,12,1290.0,1390.0,1310.0,1350.0,1440.0,1372.5,48.15340071064556,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=10,
                                    min_samples_split=10, n_estimators=1000,
                                    random_state=42)",1000,8,10,10,1280.0,1380.0,1320.0,1290.0,1410.0,1350.0,47.43416490252569,"['x100', 'x101', 'x105']"
